Size,MergeSort(ms),MergeInsertionSort_Threshold5(ms),MergeInsertionSort_Threshold10(ms),MergeInsertionSort_Threshold20(ms),MergeInsertionSort_Threshold30(ms),MergeInsertionSort_Threshold50(ms)
500,207.4,94.7,69.5,60.9,71.6,61.8
600,240,104.8,82.3,119.5,118.5,81.3
700,419.7,140.1,111.8,93.7,99.9,97.4
800,328.3,177.8,133.2,109.4,105.1,118.6
900,375.7,184.3,146.8,121.6,129.5,117.8
1000,434.9,197.5,158.9,134.8,135.5,138.9
1100,462.1,210.4,175.3,150.6,144.7,165.9
1200,501.4,225.4,181.1,166,161.2,177.6
1300,603.6,263,219.4,194.1,181.8,204.1
1400,608.3,308.7,261.6,224.3,213.5,222.3
1500,650.4,365.8,291.6,251.9,229,244.2
1600,701.1,402.4,321.7,272.3,263.4,276.5
1700,845.9,664,361.3,300.2,283.8,272.6
1800,796.1,445.7,361.4,331.4,302,346.4
1900,847.4,471,386.3,339.3,324.4,318.1
2000,894.1,492.1,416.1,365.9,362.1,366.7
2100,966.9,539.9,450.2,406.7,418.1,381.1
2200,1037.1,543.7,457.5,408.5,407.1,401.7
2300,1054.3,578.6,478,430.5,433.3,427.7
2400,1106.4,593.9,499.2,455.8,456.9,456.5
2500,1165.1,624.6,528.5,475.6,474.6,487.9
2600,1334.2,642.8,552.4,511.9,494.6,518.2
2700,1265.8,709,614.5,564.6,523.6,535.9
2800,1328.1,765.7,687,602.7,570.3,587.7
2900,1370.4,817.3,717.5,628.7,589.3,614.2
3000,1449.2,885.6,738.2,651.1,607.2,646.4
3100,1476,912.8,754.2,658.3,635.1,650.7
3200,1516.8,929.4,766.9,672.8,640.2,681.1
3300,1577.8,964.1,806.1,712,694.2,684.9
3400,1634.3,996.4,831.3,733.9,697.1,700.2
3500,1671.8,1007.7,864.8,750.2,719.1,716
3600,1719.7,1019.2,857.2,765.4,740.6,735.9
3700,1772.1,1053.8,881.3,787.3,766.5,763.8
3800,1814.6,1132.6,914.7,819.6,801.8,799.3
3900,1960.4,1100.7,929.1,838,828.4,822.5
4000,1938.1,1291,1059.3,860,867.9,853.4
4100,1968.2,1146.5,989.5,880.4,885.5,869.5
4200,2025.3,1175.9,1014.5,905.6,906.2,894.2
4300,2088.7,1205.8,1028.8,934.7,965,918.1
4400,2132,1274.2,1109.6,980.9,954.4,948.3
4500,2189.7,1248.7,1069.6,984.2,988.3,1029.9
4600,2306,1735.7,1573,1005,1006.9,1411.8
4700,2754.9,1340.6,1333.5,1542.9,1044,1041.3
4800,2785.1,1399.6,1157.4,1057.9,1056.6,1455.8
4900,3421.6,1897.4,1192.7,1429.7,1117.7,1468.8
5000,3489.1,1644.5,1199.6,1159.8,1106.7,1310.5
5100,2544.6,1688.5,1229.3,1142.3,1398.6,1165.9
5200,3697.3,1433.8,1280.7,1186.6,1153.9,1168.3
5300,2604.4,1488.5,1316.5,1247.6,1175.9,1196.8
5400,2671.7,1550.9,1377.1,1273,1191.2,1230.1
5500,2741.8,1609.2,1483.9,1299.3,1216.8,1251.4
5600,2779.9,1685.7,1509.2,1401.4,1247.1,1294.5
5700,2809.1,1722.1,1537,1596.9,1814.1,1323.9
5800,2860.2,1769.6,1557.1,1715.1,1382.3,1347.3
5900,2914.8,1817.2,1583.8,1387.2,1321.5,1388.4
6000,2991.7,1882.8,1671.5,1424.2,1358,1423.8
6100,3032.3,1931,1628.9,1461.4,1375.5,1453.3
6200,3096.8,1979.4,1653.4,1461.6,1393.4,1547.6
6300,3134,1997.7,1673.3,1487.9,1418.4,1494.6
6400,3203.5,2022.8,1696.6,1504.9,1440.2,1528.2
6500,3239.5,2052.2,1724.7,1528.6,1461.5,1488.1
6600,3330.6,2098.8,1772.5,1583.2,1523.4,1521
6700,3372.4,2130.3,1794.9,1604.4,1536,1533.5
6800,3421.5,2142.3,1816.8,1616.1,1561.2,1553.7
6900,3454,2223.1,1827.5,1632.7,1571.8,1578.1
7000,3522.9,2187.9,1843.3,1663.3,1603.9,1608.4
7100,3877.3,2200.3,1861.7,1675.8,1630.7,1648.4
7200,3586.3,2221,1896,1705.8,1660.3,1656.5
7300,3941.5,2643.7,1916.6,1726.7,1701.2,1716
7400,3699.8,2282.7,1941.3,1748.9,1759.3,1708.2
7500,3798.4,2313.8,1975.2,1779.1,1740.8,1736.9
7600,3808.3,2350.4,2000.4,1806.4,1765.7,1774.9
7700,3911.3,2364,2017.6,1834.5,1797.4,1792
7800,3920.2,2394.7,2043.4,1852.7,1828.1,1811.3
7900,4015.2,2424,2252.5,1909.7,1884.5,1863.6
8000,4002.3,2434.2,2112,1923.9,1924.8,1892.1
8100,4063.5,2472.4,2156.3,1958.7,1957.9,1926.8
8200,4115.3,2488.5,2180,1946.1,3490.6,1927.4
8300,4164.2,2518.5,2189.3,2004.1,1992.3,1971
8400,4213.8,2579.1,2197.2,1999.9,1999.7,1973.5
8500,4304.5,2574,2242.1,2036,2040,1998.6
8600,4343.1,2603.5,2262,2053,2063.3,2043.6
8700,4396.3,2622.8,2292.8,2114.3,2114.8,2085
8800,4466.5,2637.5,2284.1,2098.8,2100.9,2094.9
8900,4523.1,2678.6,2334.4,2140.3,2136.1,2133.5
9000,4566,2687.8,2333.7,2164.5,2151.8,2155.4
9100,4633.9,2712.9,2359.2,2172.4,2169.9,2176
9200,4696.2,2735.6,2431.4,2206.4,2211.2,2216.8
9300,4737.1,2769.6,2409,2225.5,2228.3,2251.6
9400,4787.4,2787.8,2434.6,2253.6,2248.8,2277.4
9500,4887.1,2827.6,2463,2287.7,2296.4,2336.3
9600,4917.4,2849.1,2494.4,2304.9,2304.4,2325.3
9700,4945,2873.9,2520.1,2343,2341,2360.3
9800,4991.3,2907,2532.3,2352.1,2352.2,2381.8
9900,5056.6,2929.4,2563.4,2414.1,2400.8,2436.8
10000,5098.8,2953.5,2592.3,2416.8,2414,2452.6
